word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
nicht,-,adjective,,,Es ist sehr nicht.,Это очень nicht.,Це дуже nicht.,
nie,-,adverb,никогда,ніколи,Ich rauche nie.,Я никогда не курю.,Я ніколи не курю.,health
noch,-,adjective,,,Es ist sehr noch.,Это очень noch.,Це дуже noch.,
normal,-,adjective,нормальный,нормальний,Das ist völlig normal.,Это совершенно нормально.,Це цілком нормально.,
oft,-,adverb,часто,часто,Wir gehen oft spazieren.,Мы часто гуляем.,Ми часто гуляємо.,
orange,-,adjective,оранжевый,помаранчевий,Die Jacke ist orange.,Куртка оранжевая.,Куртка помаранчева.,colors|home
ordnen,-,adjective,,,Es ist sehr ordnen.,Это очень ordnen.,Це дуже ordnen.,
packen,-,adjective,,,Es ist sehr packen.,Это очень packen.,Це дуже packen.,
parken,-,verb,парковаться,паркуватися,Hier darf man nicht parken.,Здесь нельзя парковаться.,Тут не можна паркуватися.,transport
passen,-,adjective,,,Es ist sehr passen.,Это очень passen.,Це дуже passen.,
passieren,-,verb,случаться,траплятися,Was ist gestern passiert?,Что вчера случилось?,Що сталося вчора?,
probieren,-,verb,пробовать,пробувати,Möchtest du den Kuchen probieren?,Хочешь попробовать пирог?,Хочеш спробувати пиріг?,food
putzen,-,verb,убирать/чистить,прибирати/чистити,Ich putze heute die Küche.,Я сегодня убираю на кухне.,Я сьогодні прибираю на кухні.,home
rechts.,-,adjective,,,Es ist sehr rechts..,Это очень rechts..,Це дуже rechts..,
reden,-,verb,говорить/разговаривать,говорити/розмовляти,Wir reden später darüber.,Мы поговорим об этом позже.,Поговоримо про це пізніше.,
regnen,-,verb,идти (о дожде),йти (про дощ),Heute regnet es den ganzen Tag.,Сегодня весь день идёт дождь.,Сьогодні цілий день дощить.,weather
reich,-,adjective,богатый,багатий,"Er ist reich, aber bescheiden.","Он богат, но скромен.","Він багатий, але скромний.",
reisen,-,verb,путешествовать,подорожувати,Wir reisen im Sommer nach Italien.,Мы путешествуем летом в Италию.,Ми подорожуємо влітку до Італії.,transport
reiten,-,verb,ездить верхом,їздити верхи,Sie reitet jeden Sonntag.,Она ездит верхом каждое воскресенье.,Вона їздить верхи щонеділі.,
rennen,-,verb,бежать (быстро),бігти (швидко),Er rennt zur Haltestelle.,Он бежит к остановке.,Він біжить до зупинки.,
reservieren,-,verb,бронировать,бронювати,Ich reserviere einen Tisch.,Я забронирую столик.,Я забронюю столик.,city
richtig,-,adjective,правильный,правильний,Das ist die richtige Antwort.,Это правильный ответ.,Це правильна відповідь.,study
rosa,-,adjective,розовый,рожевий,Das Kleid ist rosa.,Платье розовое.,Сукня рожева.,colors
rot,-,adjective,красный,червоний,Die Ampel ist rot.,Светофор красный.,Світлофор червоний.,colors|transport
rufen,-,verb,звать/звонить,кликати/дзвонити,Ruf mich bitte heute an.,"Позвони мне сегодня, пожалуйста.","Подзвони мені сьогодні, будь ласка.",
ruhig,-,adjective,спокойный,спокійний,Bleib bitte ruhig.,"Оставайся спокойным, пожалуйста.","Залишайся спокійним, будь ласка.",
sagen,-,verb,говорить/сказать,казати/сказати,Sag mir bitte Bescheid.,"Скажи мне, пожалуйста, заранее.","Скажи мені, будь ласка, заздалегідь.",
sammeln,-,adjective,,,Es ist sehr sammeln.,Это очень sammeln.,Це дуже sammeln.,
sauber,-,adjective,чистый,чистий,Die Küche ist jetzt sauber.,Кухня теперь чистая.,Кухня тепер чиста.,home
sauer,-,adjective,кислый/сердитый,кислий/сердитий,Die Milch ist sauer geworden.,Молоко скисло.,Молоко скисло.,food
schaffen,-,verb,справляться/успевать,впоратися/встигати,Ich schaffe das bis morgen.,Я справлюсь с этим до завтра.,Я впораюся з цим до завтра.,
scharf,-,adjective,острый,гострий,Das Messer ist sehr scharf.,Нож очень острый.,Ніж дуже гострий.,home
schauen,-,verb,смотреть,дивитися,"Schau mal, das ist schön.","Посмотри, это красиво.","Подивись, це гарно.",
scheinen,-,verb,светить/казаться,світити/здаватися,Die Sonne scheint heute stark.,Сегодня солнце сильно светит.,Сонце сьогодні сильно світить.,weather
schicken,-,verb,посылать,надсилати,Ich schicke dir die Dateien.,Я отправлю тебе файлы.,Я надішлю тобі файли.,
schlafen,-,verb,спать,спати,Ich schlafe heute früh ein.,Я сегодня рано усну.,Я сьогодні рано засну.,health
schlecht,-,adjective,,,Es ist sehr schlecht.,Это очень schlecht.,Це дуже schlecht.,
schließen,-,verb,закрывать,зачиняти,Bitte schließe die Tür.,"Пожалуйста, закрой дверь.","Будь ласка, зачинь двері.",home
schmecken,-,verb,нравиться на вкус,смакувати,Schmeckt dir die Suppe?,Тебе устраивает вкус супа?,Тобі смакує суп?,food
schmutzig,-,adjective,грязный,брудний,Die Schuhe sind schmutzig.,Обувь грязная.,Взуття брудне.,home
schneiden,-,verb,резать,різати,Ich schneide das Brot.,Я нарежу хлеб.,Я поріжу хліб.,food
schnell,-,adjective,быстрый,швидкий,Der Zug ist sehr schnell.,Поезд очень быстрый.,Потяг дуже швидкий.,transport
schreiben,-,verb,писать,писати,Ich schreibe eine E‑Mail.,Я пишу электронное письмо.,Я пишу електронного листа.,study
schwarz,-,adjective,чёрный,чорний,Mein Mantel ist schwarz.,Моё пальто чёрное.,Мій пальто чорний.,colors|home
schwer,-,adjective,тяжёлый/трудный,важкий/складний,Die Tasche ist schwer.,Сумка тяжёлая.,Сумка важка.,home
schwimmen,-,verb,плавать,плавати,Wir schwimmen im See.,Мы плаваем в озере.,Ми плаваємо в озері.,
schön,-,adjective,красивый,гарний,Der Park ist heute schön.,Парк сегодня красивый.,Парк сьогодні гарний.,city
sechs,-,number,шесть,шість,Der Kurs beginnt um sechs.,Курс начинается в шесть.,Курс починається о шостій.,time
sechzehn,-,adjective,,,Es ist sehr sechzehn.,Это очень sechzehn.,Це дуже sechzehn.,
sechzig,-,adjective,,,Es ist sehr sechzig.,Это очень sechzig.,Це дуже sechzig.,
sehen,-,verb,видеть,бачити,Ich sehe dich später.,Я увижу тебя позже.,Я побачу тебе пізніше.,
sein,-,verb,быть,бути,Ich bin heute sehr müde.,Я сегодня очень уставший.,Я сьогодні дуже втомлений.,
selten,-,adverb,редко,рідко,Sie fährt selten mit dem Bus.,Она редко ездит на автобусе.,Вона рідко їздить автобусом.,transport
senden,-,verb,посылать/отправлять,надсилати/відправляти,Ich sende dir die Datei.,Я отправлю тебе файл.,Я надішлю тобі файл.,study
setzen,-,verb,сажать/усаживать,садити/усаджувати,Setz das Kind auf den Stuhl.,Посади ребёнка на стул.,Посади дитину на стілець.,home
sicher,-,adjective,безопасный/уверенный,безпечний/упевнений,Ist die Seite sicher?,Сайт безопасный?,Сайт безпечний?,study|city
sieben,-,number,семь,сім,Wir treffen uns um sieben.,Встречаемся в семь.,Зустрічаємося о сьомій.,time
siebzehn,-,adjective,,,Es ist sehr siebzehn.,Это очень siebzehn.,Це дуже siebzehn.,
siebzig,-,adjective,,,Es ist sehr siebzig.,Это очень siebzig.,Це дуже siebzig.,
singen,-,verb,петь,співати,Sie singt jeden Morgen.,Она поёт каждое утро.,Вона співає щоранку.,time
sitzen,-,verb,сидеть,сидіти,Ich sitze hinten im Bus.,Я сижу сзади в автобусе.,Я сиджу ззаду в автобусі.,transport
sofort,-,adverb,сразу,відразу,Komm bitte sofort her.,"Подойди, пожалуйста, сразу.","Підійди, будь ласка, відразу.",
spielen,-,verb,играть,грати,Wir spielen Karten am Abend.,Мы играем в карты вечером.,Ми граємо в карти ввечері.,
sportlich,-,adjective,,,Es ist sehr sportlich.,Это очень sportlich.,Це дуже sportlich.,
sprechen,-,verb,говорить,говорити,Wir sprechen morgen weiter.,Мы продолжим говорить завтра.,Продовжимо говорити завтра.,
spät,-,adjective,поздно,пізно,Es ist schon sehr spät.,Уже очень поздно.,Вже дуже пізно.,time
später,-,adverb,позже,пізніше,Wir sprechen später weiter.,Поговорим позже.,Поговоримо пізніше.,
stark,-,adjective,сильный,сильний,Er ist sehr stark.,Он очень сильный.,Він дуже сильний.,
stehen,-,verb,стоять,стояти,Der Bus steht an der Ampel.,Автобус стоит на светофоре.,Автобус стоїть на світлофорі.,transport
stellen,-,verb,ставить/ставлять,ставити,Stell die Tasche hier hin.,Постав сумку сюда.,Постав сумку сюди.,home
stimmen,-,adjective,,,Es ist sehr stimmen.,Это очень stimmen.,Це дуже stimmen.,
studieren,-,verb,изучать (в вузе),вивчати (в виші),Er studiert Informatik.,Он изучает информатику.,Він вивчає інформатику.,study
suchen,-,verb,искать,шукати,Ich suche meine Schlüssel.,Я ищу свои ключи.,Я шукаю свої ключі.,
super,-,adjective,,,Es ist sehr super.,Это очень super.,Це дуже super.,
tanzen,-,verb,танцевать,танцювати,Wir tanzen am Samstag Abend.,Мы танцуем в субботу вечером.,Ми танцюємо в суботу ввечері.,
tausend,-,adjective,,,Es ist sehr tausend.,Это очень tausend.,Це дуже tausend.,
telefonieren,-,verb,разговаривать по телефону,телефонувати,Ich telefoniere mit meiner Mutter.,Я разговариваю по телефону с мамой.,Я телефоную з мамою.,family
teuer,-,adjective,дорогой,дорогий,Das Handy ist teuer.,Телефон дорогой.,Телефон дорогий.,city
toll,-,adjective,,,Es ist sehr toll.,Это очень toll.,Це дуже toll.,
tragen,-,verb,носить/нести,носити/нести,Sie trägt heute eine Jacke.,Она сегодня в куртке.,Вона сьогодні в куртці.,
traurig,-,adjective,грустный,сумний,Sie ist heute traurig.,Она сегодня грустная.,Вона сьогодні сумна.,
treffen,-,verb,встречать(ся),зустрічати(ся),Wir treffen uns um sieben.,Мы встречаемся в семь.,Ми зустрічаємось о сьомій.,time|city
trinken,-,verb,пить,пити,Ich trinke gerade Tee.,Я сейчас пью чай.,Я зараз п’ю чай.,food
trocken,-,adjective,сухой,сухий,Die Straße ist wieder trocken.,Дорога снова сухая.,Дорога знову суха.,weather|city
tun,-,verb,делать/совершать,робити/здійснювати,Was tust du für deine Gesundheit?,Что ты делаешь для своего здоровья?,Що ти робиш для свого здоров’я?,health
umsteigen,-,verb,пересаживаться,пересідати,Wir steigen in Frankfurt um.,Мы пересаживаемся во Франкфурте.,Ми пересідаємо у Франкфурті.,transport
umziehen,-,verb,переезжать,переїжджати,Wir ziehen nächste Woche um.,Мы переезжаем на следующей неделе.,Ми переїжджаємо наступного тижня.,home
unterrichten,-,verb,преподавать,викладати,Sie unterrichtet Deutsch.,Она преподаёт немецкий.,Вона викладає німецьку.,study
unterschreiben,-,verb,подписывать,підписувати,Bitte unterschreiben Sie hier.,"Пожалуйста, подпишите здесь.","Будь ласка, підпишіть тут.",
verdienen,-,verb,зарабатывать,заробляти,Er verdient nicht schlecht.,Он зарабатывает неплохо.,Він заробляє непогано.,study
vergessen,-,verb,забывать,забувати,Ich vergesse manchmal Namen.,Я иногда забываю имена.,Я інколи забуваю імена.,
verheiratet,-,adjective,,,Es ist sehr verheiratet.,Это очень verheiratet.,Це дуже verheiratet.,
verkaufen,-,verb,продавать,продавати,Er verkauft sein altes Auto.,Он продаёт свою старую машину.,Він продає свій старий автомобіль.,transport|city
verschieden,-,adjective,разный/различный,різний/різноманітний,Wir haben verschiedene Meinungen.,У нас разные мнения.,У нас різні думки.,
verstehen,-,verb,понимать,розуміти,Ich verstehe dich gut.,Я хорошо тебя понимаю.,Я добре тебе розумію.,
versuchen,-,verb,пытаться,намагатися,Ich versuche es noch einmal.,Я попробую ещё раз.,Я спробую ще раз.,
viel,-,adjective,,,Es ist sehr viel.,Это очень viel.,Це дуже viel.,
vier,-,number,четыре,чотири,Der Zug fährt um vier.,Поезд отправляется в четыре.,Поїзд від’їжджає о четвертій.,time|transport
vierte,-,adjective,,,Es ist sehr vierte.,Это очень vierte.,Це дуже vierte.,
vierzehn,-,adjective,,,Es ist sehr vierzehn.,Это очень vierzehn.,Це дуже vierzehn.,
vierzig,-,adjective,,,Es ist sehr vierzig.,Это очень vierzig.,Це дуже vierzig.,
voll,-,adjective,полный/заполненный,повний/заповнений,Der Bus ist heute sehr voll.,Автобус сегодня очень полный.,Автобус сьогодні дуже повний.,transport
vor (neun),-,phrase,,,vor (neun).,,,
vorbereiten,-,verb,готовить/подготавливать,готувати/підготовляти,Ich bereite das Essen vor.,Я готовлю еду.,Я готую їжу.,food
vorlesen,-,adjective,,,Es ist sehr vorlesen.,Это очень vorlesen.,Це дуже vorlesen.,
vorstellen (sich),-,verb,представлять(ся),представляти(ся),Ich stelle mich kurz vor.,Я кратко представлюсь.,Я коротко представлюся.,
wahr,-,adjective,,,Es ist sehr wahr.,Это очень wahr.,Це дуже wahr.,
warm,-,adjective,тёплый,теплий,Im Mai wird es warm.,В мае становится тепло.,У травні теплішає.,weather|time
warten,-,verb,ждать,чекати,Wir warten vor dem Eingang.,Мы ждём перед входом.,Ми чекаємо перед входом.,city
waschen,-,verb,мыть/стирать,мити/прати,Ich wasche heute die Wäsche.,Я сегодня стираю одежду.,Я сьогодні перу одяг.,home|health
wehtun,-,verb,болеть/причинять боль,боліти/завдавати болю,Mein Kopf tut weh.,У меня болит голова.,У мене болить голова.,health
weiß,-,adjective,белый,білий,Die Tasse ist weiß.,Чашка белая.,Чашка біла.,colors|home
werden,-,verb,становиться,ставати,Es wird langsam dunkel.,Постепенно темнеет.,Поступово темніє.,
wichtig,-,adjective,важный,важливий,Das ist sehr wichtig.,Это очень важно.,Це дуже важливо.,
wirklich,-,adjective,,,Es ist sehr wirklich.,Это очень wirklich.,Це дуже wirklich.,
wissen,-,verb,знать (факт),знати (факт),Das weiß ich leider nicht.,"К сожалению, я этого не знаю.","На жаль, я цього не знаю.",
witzig,-,adjective,,,Es ist sehr witzig.,Это очень witzig.,Це дуже witzig.,
wohnen,-,verb,жить/проживать,жити/проживати,Ich wohne in Berlin.,Я живу в Берлине.,Я живу в Берліні.,home
wollen,-,verb,хотеть,хотіти,Ich will heute früh schlafen.,Я хочу сегодня рано лечь спать.,Я хочу сьогодні рано лягти спати.,health
wünschen,-,verb,желать,бажати,Ich wünsche dir einen schönen Tag.,Желаю тебе хорошего дня.,Бажаю тобі гарного дня.,
zahlen,-,verb,платить,платити,Ich zahle bar oder mit Karte.,Я плачу наличными или картой.,Я плачу готівкою чи карткою.,city
zehn,-,number,десять,десять,Ich arbeite bis zehn.,Я работаю до десяти.,Я працюю до десятої.,time|study
zeigen,-,verb,показывать,показувати,"Zeig mir den Weg, bitte.","Покажи мне путь, пожалуйста.","Покажи мені шлях, будь ласка.",city
ziehen,-,verb,тянуть/переезжать,тягнути/переїжджати,Wir ziehen den Schrank nach links.,Мы двигаем шкаф влево.,Рухаємо шафу ліворуч.,home
zuerst,-,adverb,сначала,спочатку,"Zuerst kochen wir, dann essen wir.","Сначала готовим, потом едим.","Спочатку готуємо, потім їмо.",food
zufrieden,-,adjective,довольный,задоволений,Ich bin zufrieden mit der Arbeit.,Я доволен работой.,Я задоволений роботою.,study
zuhören,-,verb,слушать (внимательно),слухати (уважно),Hör bitte gut zu.,"Пожалуйста, слушай внимательно.","Будь ласка, слухай уважно.",study
zumachen,-,verb,закрывать,закривати,Mach bitte die Tür zu.,"Пожалуйста, закрой дверь.","Будь ласка, зачинь двері.",home
zurückkommen,-,verb,возвращаться,повертатися,Komm bitte um neun zurück.,"Пожалуйста, вернись к девяти.","Повернись, будь ласка, о дев’ятій.",
zusammen,-,adverb,вместе,разом,Wir lernen zusammen Deutsch.,Мы вместе учим немецкий.,Ми разом вчимо німецьку.,study
zwanzig,-,number,двадцать,двадцять,Das kostet zwanzig Euro.,Это стоит двадцать евро.,Це коштує двадцять євро.,city
zwei,-,number,два,два,Ich nehme zwei Tickets.,Я возьму два билета.,Я візьму два квитки.,city|transport
zweite,-,adjective,,,Es ist sehr zweite.,Это очень zweite.,Це дуже zweite.,
zwölf,-,adjective,,,Es ist sehr zwölf.,Это очень zwölf.,Це дуже zwölf.,
öffnen,-,verb,открывать,відкривати,Öffnest du bitte das Fenster?,"Откроешь, пожалуйста, окно?","Відкриєш, будь ласка, вікно?",home
überall,-,adjective,,,Es ist sehr überall.,Это очень überall.,Це дуже überall.,
